Instelling,Toegangsnummer,Inventarisnummer,Aantal scans,METS link
NL-HaNA,1.04.02,3,3,https://service.archief.nl/gaf/api/mets/v1/5e0450c2-2f25-4637-a0df-e2acdd082f55
NL-HaNA,1.04.02,8,3,https://service.archief.nl/gaf/api/mets/v1/637c2ad1-7083-4d23-b51d-c241998aa220
NL-HaNA,1.04.02,9,39,https://service.archief.nl/gaf/api/mets/v1/ed636e38-169e-4677-a031-13ce4180e9cb
NL-HaNA,1.04.02,10,5,https://service.archief.nl/gaf/api/mets/v1/d484b18a-7854-4a09-a3e0-a79ef496b807
NL-HaNA,1.04.02,11,21,https://service.archief.nl/gaf/api/mets/v1/f5213e2b-6fd1-4d6a-9307-a44e67e819ee
NL-HaNA,1.04.02,12,9,https://service.archief.nl/gaf/api/mets/v1/1f2479d4-a168-4d93-a5f4-7278c3be1fb5
NL-HaNA,1.04.02,14,27,https://service.archief.nl/gaf/api/mets/v1/3e7f9cd5-10fb-41f9-935d-a4b97c4092ca
NL-HaNA,1.04.02,15,28,https://service.archief.nl/gaf/api/mets/v1/a1ec52b8-428b-4c5e-b37c-c828422f7d68
NL-HaNA,1.04.02,18,5,https://service.archief.nl/gaf/api/mets/v1/ef1a48ba-bcea-4687-8bc0-d72e10df1e01
NL-HaNA,1.04.02,23,10,https://service.archief.nl/gaf/api/mets/v1/5b4bd3db-1184-44f8-b665-a608fd9a6ae7
NL-HaNA,1.04.02,24,1132,https://service.archief.nl/gaf/api/mets/v1/548f040a-efdd-4930-b9fa-1b896d33a7bc
NL-HaNA,1.04.02,25,881,https://service.archief.nl/gaf/api/mets/v1/34cec88c-a6b3-4eee-a862-d691e0f430c6
NL-HaNA,1.04.02,26,929,https://service.archief.nl/gaf/api/mets/v1/a33c79ab-88b4-4174-ac90-54dbaa214569
NL-HaNA,1.04.02,27,240,https://service.archief.nl/gaf/api/mets/v1/5637427d-3400-487a-b4ff-6e424902e163
NL-HaNA,1.04.02,29,662,https://service.archief.nl/gaf/api/mets/v1/73560779-0d91-4cf6-a02e-de9bc1f5b0b5
NL-HaNA,1.04.02,30,741,https://service.archief.nl/gaf/api/mets/v1/63508054-4ba5-48ae-b84b-1412737b52cd
NL-HaNA,1.04.02,31,604,https://service.archief.nl/gaf/api/mets/v1/a526989d-a533-45ae-8776-69f5c98412c9
NL-HaNA,1.04.02,32,867,https://service.archief.nl/gaf/api/mets/v1/e6125cb5-9a4e-47fa-aaff-993eb7001c20
NL-HaNA,1.04.02,33,772,https://service.archief.nl/gaf/api/mets/v1/ec1ac07c-9189-40c5-aab1-14eed8198139
NL-HaNA,1.04.02,34,780,https://service.archief.nl/gaf/api/mets/v1/8f5d8d79-9084-4a77-a068-c191d604960e
NL-HaNA,1.04.02,35,614,https://service.archief.nl/gaf/api/mets/v1/bf5c28d6-5247-4940-8f37-3218dfebac0e
NL-HaNA,1.04.02,36,839,https://service.archief.nl/gaf/api/mets/v1/97de2d37-c03c-4484-b6d9-ba69e26b8e5d
NL-HaNA,1.04.02,37,655,https://service.archief.nl/gaf/api/mets/v1/2becefbc-ebaa-4407-b636-1c244a1d8b64
NL-HaNA,1.04.02,38,731,https://service.archief.nl/gaf/api/mets/v1/db7151ee-9ee8-4d8d-b23a-1ad07be7d52b
NL-HaNA,1.04.02,39,579,https://service.archief.nl/gaf/api/mets/v1/bc512e4c-d724-4298-8f8a-9d45028d399c
NL-HaNA,1.04.02,40,679,https://service.archief.nl/gaf/api/mets/v1/133d01b4-b5fa-4119-86a7-722205589de1
NL-HaNA,1.04.02,41,625,https://service.archief.nl/gaf/api/mets/v1/a775a4da-3f06-429f-a249-3979ecc7d438
NL-HaNA,1.04.02,42,525,https://service.archief.nl/gaf/api/mets/v1/a432e36e-4382-42eb-a795-1066d551149a
NL-HaNA,1.04.02,43,611,https://service.archief.nl/gaf/api/mets/v1/8e1ccb3a-23a5-4dd1-8f16-104aa31fac48
NL-HaNA,1.04.02,44,676,https://service.archief.nl/gaf/api/mets/v1/a9297e47-7bdf-46f7-be8b-a70aa50c2471
NL-HaNA,1.04.02,45,772,https://service.archief.nl/gaf/api/mets/v1/2c095ea5-c0eb-4cfa-a75e-fd8d3ddad2f2
NL-HaNA,1.04.02,46,728,https://service.archief.nl/gaf/api/mets/v1/932a5d2c-e808-420b-9fc0-16c80c06ff7a
NL-HaNA,1.04.02,47,784,https://service.archief.nl/gaf/api/mets/v1/9757cb3b-4cc5-4d7d-ad6c-607f16ce85d8
NL-HaNA,1.04.02,48,577,https://service.archief.nl/gaf/api/mets/v1/15cdddea-e6f5-4f37-a97f-63ecfa68880c
NL-HaNA,1.04.02,49,543,https://service.archief.nl/gaf/api/mets/v1/42d89184-392f-46c1-8ab5-a169af9a9635
NL-HaNA,1.04.02,50,600,https://service.archief.nl/gaf/api/mets/v1/c1539640-ce83-4736-ba20-641963700cc4
NL-HaNA,1.04.02,51,612,https://service.archief.nl/gaf/api/mets/v1/13509137-12cd-470f-87da-f8d40f228ffb
NL-HaNA,1.04.02,52,552,https://service.archief.nl/gaf/api/mets/v1/bcf6cfd8-c56a-4bc5-aa87-d4a110830666
NL-HaNA,1.04.02,53,648,https://service.archief.nl/gaf/api/mets/v1/7e44a9ad-e528-4c17-9434-fb003b2f570b
NL-HaNA,1.04.02,55,507,https://service.archief.nl/gaf/api/mets/v1/22f3691f-1daa-47b5-84ca-e1edcd44d49e
NL-HaNA,1.04.02,56,569,https://service.archief.nl/gaf/api/mets/v1/371bc7f3-6766-427c-8084-7fe5f61a5888
NL-HaNA,1.04.02,57,675,https://service.archief.nl/gaf/api/mets/v1/38cdea25-8eee-4b0f-92c2-04dde2dfbf96
NL-HaNA,1.04.02,58,499,https://service.archief.nl/gaf/api/mets/v1/bcbb56eb-e460-45e4-b89e-f7023271734a
NL-HaNA,1.04.02,59,457,https://service.archief.nl/gaf/api/mets/v1/e5969d3c-f751-4531-9c51-b5863b8360e6
NL-HaNA,1.04.02,60,482,https://service.archief.nl/gaf/api/mets/v1/a1a6ff35-6197-42ed-8a00-4d244532be2f
NL-HaNA,1.04.02,61,684,https://service.archief.nl/gaf/api/mets/v1/51f574c1-c70e-469f-9bdf-78d306e4a3c9
NL-HaNA,1.04.02,62,747,https://service.archief.nl/gaf/api/mets/v1/999820a9-d676-4747-a381-bb3418a0ece0
NL-HaNA,1.04.02,63,657,https://service.archief.nl/gaf/api/mets/v1/fb180a7b-e567-43bd-93ca-55c91c0ae17b
NL-HaNA,1.04.02,64,656,https://service.archief.nl/gaf/api/mets/v1/fce491c4-12fd-4757-b62a-0c00cfccd3ac
