na_base_id,start_scan,end_scan
NL-HaNA_1.04.02_10000,1,265
NL-HaNA_1.04.02_10001,1,150
NL-HaNA_1.04.02_10002,1,286
NL-HaNA_1.04.02_10003,1,483
NL-HaNA_1.04.02_10004,1,339
NL-HaNA_1.04.02_10005,1,397
NL-HaNA_1.04.02_10006,1,212
NL-HaNA_1.04.02_10007,1,253
NL-HaNA_1.04.02_10008,1,611
NL-HaNA_1.04.02_10009,1,496
NL-HaNA_1.04.02_10010,1,259
NL-HaNA_1.04.02_10011,1,419
NL-HaNA_1.04.02_10012,1,428
NL-HaNA_1.04.02_10013,1,312
NL-HaNA_1.04.02_10014,1,471
NL-HaNA_1.04.02_10015,1,435
NL-HaNA_1.04.02_10016,1,572
NL-HaNA_1.04.02_10017,1,750
NL-HaNA_1.04.02_10018,1,302
NL-HaNA_1.04.02_10019,1,212
NL-HaNA_1.04.02_10020,1,361
NL-HaNA_1.04.02_10021,1,346
NL-HaNA_1.04.02_10022,1,320
NL-HaNA_1.04.02_10023,1,578
NL-HaNA_1.04.02_10024,1,466
NL-HaNA_1.04.02_10025,1,503
NL-HaNA_1.04.02_10026,1,529
NL-HaNA_1.04.02_10027,1,494
NL-HaNA_1.04.02_10028,1,552
NL-HaNA_1.04.02_10029,1,561
NL-HaNA_1.04.02_10030,1,472
NL-HaNA_1.04.02_10031,1,406
NL-HaNA_1.04.02_10032,1,282
NL-HaNA_1.04.02_10033,1,1324
NL-HaNA_1.04.02_10034,1,384
NL-HaNA_1.04.02_10035,1,778
NL-HaNA_1.04.02_10036,1,530
NL-HaNA_1.04.02_10037,1,926
NL-HaNA_1.04.02_10038,1,1216
NL-HaNA_1.04.02_10039,1,1056
NL-HaNA_1.04.02_10040,1,514
NL-HaNA_1.04.02_10041,1,1158
NL-HaNA_1.04.02_10042,1,316
NL-HaNA_1.04.02_10043,1,398
NL-HaNA_1.04.02_10044,1,112
NL-HaNA_1.04.02_10045,1,714
NL-HaNA_1.04.02_10046,1,360
NL-HaNA_1.04.02_10047,1,172
NL-HaNA_1.04.02_10048,1,60
NL-HaNA_1.04.02_10049,1,230
NL-HaNA_1.04.02_10050,1,276
NL-HaNA_1.04.02_10051,1,84
NL-HaNA_1.04.02_10052,1,122
NL-HaNA_1.04.02_10053,1,170
NL-HaNA_1.04.02_10054,1,952
NL-HaNA_1.04.02_10055,1,960
NL-HaNA_1.04.02_10056,1,676
NL-HaNA_1.04.02_10057,1,856
NL-HaNA_1.04.02_10058,1,370
NL-HaNA_1.04.02_10059,1,586
NL-HaNA_1.04.02_10060,1,540
NL-HaNA_1.04.02_10061,1,502
NL-HaNA_1.04.02_10062,1,492
NL-HaNA_1.04.02_10063,1,532
NL-HaNA_1.04.02_10064,1,720
NL-HaNA_1.04.02_10065,1,490
NL-HaNA_1.04.02_10066,1,568
NL-HaNA_1.04.02_10067,1,956
NL-HaNA_1.04.02_10068,1,678
NL-HaNA_1.04.02_10069,1,1330
NL-HaNA_1.04.02_10070,1,1460
NL-HaNA_1.04.02_10071,1,414
NL-HaNA_1.04.02_10072,1,802
NL-HaNA_1.04.02_10073,1,394
NL-HaNA_1.04.02_10074,1,272
NL-HaNA_1.04.02_10075,1,274
NL-HaNA_1.04.02_10076,1,356
NL-HaNA_1.04.02_10077,1,236
NL-HaNA_1.04.02_10078,1,742
NL-HaNA_1.04.02_10079,1,388
NL-HaNA_1.04.02_10080,1,200
NL-HaNA_1.04.02_10081,1,148
NL-HaNA_1.04.02_10082,1,272
NL-HaNA_1.04.02_10083,1,360
NL-HaNA_1.04.02_10084,1,1840
NL-HaNA_1.04.02_10085,1,150
NL-HaNA_1.04.02_10086,1,112
NL-HaNA_1.04.02_10087,1,430
NL-HaNA_1.04.02_10088,1,214
NL-HaNA_1.04.02_10089,1,308
NL-HaNA_1.04.02_10091,1,178
NL-HaNA_1.04.02_10092,1,106
NL-HaNA_1.04.02_10093,1,148
NL-HaNA_1.04.02_10094,1,130
NL-HaNA_1.04.02_10095,1,86
NL-HaNA_1.04.02_10096,1,414
NL-HaNA_1.04.02_10097,1,580
NL-HaNA_1.04.02_10098,1,388
NL-HaNA_1.04.02_10098A,1,280
NL-HaNA_1.04.02_10099,1,164
NL-HaNA_1.04.02_10100,1,246
NL-HaNA_1.04.02_10101,1,384
NL-HaNA_1.04.02_10102,1,306
NL-HaNA_1.04.02_10103,1,120
NL-HaNA_1.04.02_10104,1,154
NL-HaNA_1.04.02_10105,1,706
NL-HaNA_1.04.02_10106,1,232
NL-HaNA_1.04.02_10107,1,272
NL-HaNA_1.04.02_10108,1,238
NL-HaNA_1.04.02_10109,1,274
NL-HaNA_1.04.02_10110,1,248
NL-HaNA_1.04.02_10111,1,122
NL-HaNA_1.04.02_10112,1,794
NL-HaNA_1.04.02_10113,1,492
NL-HaNA_1.04.02_10114,1,1064
NL-HaNA_1.04.02_10115,1,1204
