ID,TANAP ID,Indexnr,Archief Amsterdam of Zeeland?,Deel,Folio-begin,Folio-eind,Scan-begin,Scan-Eind,Enkel gescanned of dubbel?,RGP Deel,RGP START,Jaar,Beschrijving,Datum,Datum (nummeriek),LINK naar eerste scan,Bestandsnaam van eerste scan,LINK naar laatste scan,Bestandsnaam van laatste scan,HTR van IJsberg beschikbaar?
1,908,1068,A,,275,278,611,617,Enkel,1,,1618,Copie missive van [Jan Pieterszoon] Coen omtrent Jaccatra aen bewinthebberen in dato 5 October 1618., 5 October 1618.,5-10-1618,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0611,NL-HaNA_1.04.02_1068_0611,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0617,NL-HaNA_1.04.02_1068_617,FALSE
2,910,1068,A,,264,267,585,594,Enkel,1,,1618,Generale missive uijt Jaccatra aen bewinthebberen in dato 12 November 1618., 12 November 1618.,12-11-1618,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0585,NL-HaNA_1.04.02_1068_0585,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0594,NL-HaNA_1.04.02_1068_0585,FALSE
3,911,1068,A,,268,274,595,608,Enkel,1,,1618,Copie missive van [Jan Pieterszoon] Coen omtrent Jaccatra aen bewinthebberen in dato 29 September 1618., 29 September 1618.,29-09-1618,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0595,NL-HaNA_1.04.02_1068_0595,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0608,NL-HaNA_1.04.02_1068_0595,FALSE
4,945,1068,A,,21,30,57,75,Enkel,1,,1618,Copie missive van [Jan Pieterszoon] Coen aen bewinthebberen in dato 26 Julij 1618 [tot Jaccattra]., 26 Julij 1618 [tot Jaccattra].,26-07-1618,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0057,NL-HaNA_1.04.02_1068_0057,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0075,NL-HaNA_1.04.02_1068_0057,FALSE
5,946,1068,A,,13,20,41,56,Enkel,1,,1618,Copie missive van [Jan Pieterszoon] Coen aen bewinthebberen in dato 24 Junij 1618 [tot Jaccatra]., 24 Junij 1618 [tot Jaccatra].,24-06-1618,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0041,NL-HaNA_1.04.02_1068_0041,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0056,NL-HaNA_1.04.02_1068_0041,FALSE
6,947,1068,A,,5,12,25,39,Enkel,1,,1618,Generale missive 29 September 1618 [in 't schip 't Wapen van Amsterdam leggende ontrent Jaccatra].,29 september 1618,29-09-1618,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0025,NL-HaNA_1.04.02_1068_0025,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0039,NL-HaNA_1.04.02_1068_0025,FALSE
7,948,1068,A,,3,4,21,24,Enkel,1,,1618,Generale missive uijt 't Wapen van Amsterdam leggende omtrent Jaccatra aen bewinthebberen in dato 5 October 1618., 5 October 1618.,5-10-1618,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0021,NL-HaNA_1.04.02_1068_0021,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1068/file/NL-HaNA_1.04.02_1068_0024,NL-HaNA_1.04.02_1068_0021,FALSE
8,1004,1070,A,,2,7,17,25,Enkel,1,97,1619,Originele generale missiven in datis 7 en 15 October 1619.,7 en 15 october 1619,715-10-1619,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1070/file/NL-HaNA_1.04.02_1070_0017,NL-HaNA_1.04.02_1070_0017,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1070/file/NL-HaNA_1.04.02_1070_0025,NL-HaNA_1.04.02_1070_0017,FALSE
9,1055,1070,A,,162,177,373,403,Enkel,1,97,1620,Originele generale missive uijt Jacatra aen bewinthebberen in dato 22 Januarij 1620., 22 Januarij 1620.,22-01-1620,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1070/file/NL-HaNA_1.04.02_1070_0373,NL-HaNA_1.04.02_1070_0373,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1070/file/NL-HaNA_1.04.02_1070_0403,NL-HaNA_1.04.02_1070_0373,FALSE
10,1056,1070,A,,178,203,405,456,Enkel,1,,1619,Copie generale missive in dato 5 Augustus 1619., 5 Augustus 1619.,5-08-1619,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1070/file/NL-HaNA_1.04.02_1070_0405,NL-HaNA_1.04.02_1070_0405,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1070/file/NL-HaNA_1.04.02_1070_0456,NL-HaNA_1.04.02_1070_0405,FALSE
11,1125,1071,A,,3,14,11,31,Enkel,1,97,1620,Originele generale missive uijt Jacatra aen bewinthebberen in dato 11 Meij 1620., 11 Meij 1620.,11-05-1620,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1071/file/NL-HaNA_1.04.02_1071_0011,NL-HaNA_1.04.02_1071_0011,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1071/file/NL-HaNA_1.04.02_1071_0031,NL-HaNA_1.04.02_1071_0011,FALSE
12,1139,1071,A,,83,93,175,195,Enkel,1,98,1620,Originele generale missive uijt Jacatra aen bewinthebberen in dato 31 Julij 1620., 31 Julij 1620.,31-07-1620,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1071/file/NL-HaNA_1.04.02_1071_0175,NL-HaNA_1.04.02_1071_0175,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1071/file/NL-HaNA_1.04.02_1071_0195,NL-HaNA_1.04.02_1071_0175,FALSE
13,1179,1072,A,,1,8,19,34,Enkel,1,98,1620,Originele generale missive uijt 't Fort Jacatra aen bewinthebberen in dato 26 October 1620., 26 October 1620.,26-10-1620,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1072/file/NL-HaNA_1.04.02_1072_0019,NL-HaNA_1.04.02_1072_0019,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1072/file/NL-HaNA_1.04.02_1072_0034,NL-HaNA_1.04.02_1072_0019,FALSE
14,1215,1072,A,,175,180,427,438,Enkel,1,98,1621,Originele generale missive uijt Jacatra aen bewinthebberen in dato 8 Januarij 1621., 8 Januarij 1621.,8-01-1621,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1072/file/NL-HaNA_1.04.02_1072_0427,NL-HaNA_1.04.02_1072_0427,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1072/file/NL-HaNA_1.04.02_1072_0438,NL-HaNA_1.04.02_1072_0427,FALSE
15,1251,1072,A,,302,302,707,708,Enkel,1,,1621,Originele missive van Jan Pietersz. Coen uijt Jacatra aen bewinthebberen in dato 8 Januarij 1621., 8 Januarij 1621.,8-01-1621,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1072/file/NL-HaNA_1.04.02_1072_0707,NL-HaNA_1.04.02_1072_0707,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1072/file/NL-HaNA_1.04.02_1072_0708,NL-HaNA_1.04.02_1072_0707,FALSE
16,1261,1072,A,,312,313,737,739,Enkel,1,,1621,Originele missive van Jacob Dedel uijt Jacatra aen bewinthebberen in dato 8 Januarij 1621., 8 Januarij 1621.,8-01-1621,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1072/file/NL-HaNA_1.04.02_1072_0737,NL-HaNA_1.04.02_1072_0737,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1072/file/NL-HaNA_1.04.02_1072_0739,NL-HaNA_1.04.02_1072_0737,FALSE
17,1286,1073,A,,1,6,13,23,Enkel,1,,1621,Copie missive uijt Jaccatra aen bewinthebberen in dato 8 Januarij 1621., 8 Januarij 1621.,8-01-1621,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1073/file/NL-HaNA_1.04.02_1073_0013,NL-HaNA_1.04.02_1073_0013,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1073/file/NL-HaNA_1.04.02_1073_0023,NL-HaNA_1.04.02_1073_0013,FALSE
18,1296,1073,A,,52,62,125,144,Enkel,1,,1621,Originele generale missive aen bewinthebberen in 't Fort Jaccatra adij 9 Julij anno 1621.,9 juli 1621,9-07-1621,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1073/file/NL-HaNA_1.04.02_1073_0125,NL-HaNA_1.04.02_1073_0125,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1073/file/NL-HaNA_1.04.02_1073_0144,NL-HaNA_1.04.02_1073_0125,FALSE
19,1312,1073,A,,148,153,303,312,Enkel,1,118,1621,Originele missive uijt Batavia aen bewinthebberen in dato 20 December 1621., 20 December 1621.,20-12-1621,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1073/file/NL-HaNA_1.04.02_1073_0303,NL-HaNA_1.04.02_1073_0303,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1073/file/NL-HaNA_1.04.02_1073_0312,NL-HaNA_1.04.02_1073_0303,FALSE
20,1347,1074,A,1,4,28,23,71,Enkel,1,118,1621,"Originele generale missive aen bewinthebberen, in dato 16 November 1621.", 16 November 1621.,16-11-1621,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1074/file/NL-HaNA_1.04.02_1074_0023,NL-HaNA_1.04.02_1074_0023,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1074/file/NL-HaNA_1.04.02_1074_0071,NL-HaNA_1.04.02_1074_0023,FALSE
21,1410,1075,A,,190,191,453,454,Enkel,1,118,1622,Originele missive van Jan Pieterszoon Coen uijt Batavia aen bewinthebberen in dato 14 Maert 1622., 14 Maert 1622.,14-03-1622,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0453,NL-HaNA_1.04.02_1075_0453,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0454,NL-HaNA_1.04.02_1075_0453,FALSE
22,1419,1075,A,,103,117,259,287,Enkel,1,#N/A,1621,Copie missive uijt Batavia aen bewinthebberen in dato 16 November 1621., 16 November 1621.,16-11-1621,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0259,NL-HaNA_1.04.02_1075_0259,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0287,NL-HaNA_1.04.02_1075_0259,FALSE
23,1420,1075,A,,118,121,291,298,Enkel,1,#N/A,1621,Copie missive van den gouverneur generaal uijt Batavia aen bewinthebberen in dato 20 December 1621., 20 December 1621.,20-12-1621,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0291,NL-HaNA_1.04.02_1075_0291,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0298,NL-HaNA_1.04.02_1075_0291,FALSE
24,1421,1075,A,,94,102,237,254,Enkel,1,118,1622,Originele generale missive uijt Batavia aen bewinthebberen in dato 26 Maert 1622., 26 Maert 1622.,26-03-1622,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0237,NL-HaNA_1.04.02_1075_0237,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0254,NL-HaNA_1.04.02_1075_0237,FALSE
25,1445,1076,A,,3,26,13,60,Enkel,1,118,1622,Originele generale missive door Jan Pietersz. Coen uijt Batavia aen d'Ed. heeren bewinthebberen tot Amsterdam in dato 6 September 1622., 6 September 1622.,6-09-1622,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1076/file/NL-HaNA_1.04.02_1076_0013,NL-HaNA_1.04.02_1076_0013,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1076/file/NL-HaNA_1.04.02_1076_0060,NL-HaNA_1.04.02_1076_0013,FALSE
26,1626,1079,A,,1,56,21,118,Enkel,1,#N/A,1624,Originele generale missive [van Carpentier en den verderen raad tot Batavia] in dato 3 Januarij 1624., 3 Januarij 1624.,3-01-1624,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1079/file/NL-HaNA_1.04.02_1079_0021,NL-HaNA_1.04.02_1079_0021,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1079/file/NL-HaNA_1.04.02_1079_0118,NL-HaNA_1.04.02_1079_0021,FALSE
27,1627,1079,A,,57,64,121,133,Enkel,1,#N/A,1623,Copie generale missiven in datis 24 Februarij en 25 December 1623 [in 't Fort_Batavia geschreven aen de heeren maijores].,24 februarij en 25 december 1623,24-02 & 25-12-1623,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1079/file/NL-HaNA_1.04.02_1079_0121,NL-HaNA_1.04.02_1079_0121,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1079/file/NL-HaNA_1.04.02_1079_0133,NL-HaNA_1.04.02_1079_0121,FALSE
28,1639,1079,A,,124,126,259,263,Enkel,1,129,1623,Originele generale missive [van Carpentier en den verderen raad tot Batavia] in dato 25 December 1623., 25 December 1623.,25-12-1623,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1079/file/NL-HaNA_1.04.02_1079_0259,NL-HaNA_1.04.02_1079_0259,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1079/file/NL-HaNA_1.04.02_1079_0263,NL-HaNA_1.04.02_1079_0259,FALSE
29,1647,1079,A,,163,164,339,341,Enkel,1,#N/A,1624,Originele missive van Pieter de Carpentier uijt Batavia aen bewinthebberen in dato 3 Januarij 1624., 3 Januarij 1624.,3-01-1624,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1079/file/NL-HaNA_1.04.02_1079_0339,NL-HaNA_1.04.02_1079_0339,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1079/file/NL-HaNA_1.04.02_1079_0341,NL-HaNA_1.04.02_1079_0339,FALSE
