(house)painter	kladschilder;schilder
Adhikar	Adigaar;Adigar
Adigaar	Adhikar;Adigar
Adigar	Adhikar;Adigaar
Administration and government	politique bedienden
Baas Scheeps Timmerm	baas der scheepstimmerlieden;baas der scheepstimmermannen;baas der scheepstimmerwerf;baas der scheeptimmerlieden;baas der schipstimmerwerf;opperscheepstimmerman;senior ship carpenter
Equipagemaster	equipagemeester;equipagie meester;equipagiemeester;equipasie opziender
Francisca pater	Franciscand pater;paater;pater
Franciscand pater	Francisca pater;paater;pater
Inlands leermeester	docent;leermeester;meester
Jo: assistent bij den oppertolk	jong tolk
Jong assistent	jo: adsistend;jo: assistent;jong adsistend;jong koopmansassistent;jongen adsistent;junior assistant to the (chief) merchant;junior merchants assistant
Lascarin	Lascorijn
Lascorijn	Lascarin
Militaire officieren	offecier;officer;officier
Muzikanten	musician
Onder-major	ondermajoor
Onder-watermaker	Water-maker's mate;onderwatermaker
Opermeester van 's komps: Hospitaal	operchirurgijn;opermeester;oppercheriorgijn;opperchigeirgijn;opperchirugijn;opperchirurgeijn;opperchirurgijn;oppermeester;senior medical master;senior surgeon
Opsiender der houtthuin	Opsiender der scheeps timmerwerff;Opsiender der scheepstimmerwerf;Opsiender der wapencamer;Opziender van de Smitswinkel;opsiender;opsiender der houtthuijn;opziender;opziener
Opsiender der scheeps timmerwerff	Opsiender der houtthuin;Opsiender der scheepstimmerwerf;Opsiender der wapencamer;Opziender van de Smitswinkel;opsiender;opsiender der houtthuijn;opziender;opziener
Opsiender der scheepstimmerwerf	Opsiender der houtthuin;Opsiender der scheeps timmerwerff;Opsiender der wapencamer;Opziender van de Smitswinkel;opsiender;opsiender der houtthuijn;opziender;opziener
Opsiender der wapencamer	Opsiender der houtthuin;Opsiender der scheeps timmerwerff;Opsiender der scheepstimmerwerf;Opziender van de Smitswinkel;opsiender;opsiender der houtthuijn;opziender;opziener
Opziender van de Smitswinkel	Opsiender der houtthuin;Opsiender der scheeps timmerwerff;Opsiender der scheepstimmerwerf;Opsiender der wapencamer;opsiender;opsiender der houtthuijn;opziender;opziener
Pl: kapitain luitenant der artillerije	lieutenant der arthillerie;lieutenant der arthillerije;luitenant van de artillerie;luitenant-ingenieur;sousluitenant der artillerie;sousluitenant der artillerij
Raad van Indië	Raad van Nederlandse India;extraordinaris raedt van india;lid van de Raad van Indië;raad extra ordinair van India 
Raad van Nederlandse India	Raad van Indië;extraordinaris raedt van india;lid van de Raad van Indië;raad extra ordinair van India 
Raad van Politie	lid van de Politieke Raad;lid van de Raad van Politie
Sarawadi	Sarawadij;Sarwadi;Sarwadi Karyakkaran;sarbadikariakaar
Sarawadij	Sarawadi;Sarwadi;Sarwadi Karyakkaran;sarbadikariakaar
Sarwadi	Sarawadi;Sarawadij;Sarwadi Karyakkaran;sarbadikariakaar
Sarwadi Karyakkaran	Sarawadi;Sarawadij;Sarwadi;sarbadikariakaar
Water-maker's mate	Onder-watermaker;onderwatermaker
absolut assistent	absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
absoluut assistent	absolut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
acting governor-general	gouverneur-generaal;governor general
adelborts	aldelborst;midshipman
adjudant	adjundant;onderadjudant
adjunct-boswachter	boswagters adjunct
adjundant	adjudant;onderadjudant
adsistend	absolut assistent;absoluut assistent;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
adsistendt	absolut assistent;absoluut assistent;adsistend;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
adsistent	absolut assistent;absoluut assistent;adsistend;adsistendt;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
adssistent	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
adssitend	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
advocaat fiscaal	advocaat-fiscaal
advocaat-fiscaal	advocaat fiscaal
aldelborst	adelborts;midshipman
an-nakhoda	anachoda;annakhoda;nachoda;nakhuda
anachoda	an-nakhoda;annakhoda;nachoda;nakhuda
annakhoda	an-nakhoda;anachoda;nachoda;nakhuda
appointe	appointee;appointé
appointee	appointe;appointé
appointé	appointe;appointee
apprentice helmsman	halfwaak
apprentice surgeon	barberot
araatchie	araatje;arache;aratja;aratje;arraci;arratja;arratje
araatje	araatchie;arache;aratja;aratje;arraci;arratja;arratje
arache	araatchie;araatje;aratja;aratje;arraci;arratja;arratje
aratja	araatchie;araatje;arache;aratje;arraci;arratja;arratje
aratje	araatchie;araatje;arache;aratja;arraci;arratja;arratje
arraci	araatchie;araatje;arache;aratja;aratje;arratja;arratje
arratja	araatchie;araatje;arache;aratja;aratje;arraci;arratje
arratje	araatchie;araatje;arache;aratja;aratje;arraci;arratja
artillerie-handlanger	handlanger
asdsistent	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
asiestend	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
asistent	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
assistant	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant;schrijver
assistant barber-surgeon	onderbarbier;second barber
assistant steward	botteliermaet;botteliersm:;botteliersmaat
assistant to the (chief) merchant	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistend;assistendt;assistent;merchant's assistant;schrijver
assistend	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistendt;assistent;merchant's assistant;schrijver
assistendt	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistent;merchant's assistant;schrijver
assistent	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;merchant's assistant;schrijver
baas der kruijtmakers	baas der kruitmakers;baas kruijtmaker
baas der kruitmakers	baas der kruijtmakers;baas kruijtmaker
baas der kuipers	first cooper;opperkuijper;opperkuiper
baas der pannebakkers	baas der pannenbakkers;pannebakker
baas der pannenbakkers	baas der pannebakkers;pannebakker
baas der scheepstimmerlieden	Baas Scheeps Timmerm;baas der scheepstimmermannen;baas der scheepstimmerwerf;baas der scheeptimmerlieden;baas der schipstimmerwerf;opperscheepstimmerman;senior ship carpenter
baas der scheepstimmermannen	Baas Scheeps Timmerm;baas der scheepstimmerlieden;baas der scheepstimmerwerf;baas der scheeptimmerlieden;baas der schipstimmerwerf;opperscheepstimmerman;senior ship carpenter
