's Gravenhage	Den Haag	hoe ouder hoe zotter
's lands eer	's lands wijs
's lands wijs	's lands eer
([[licht]]) [[middagmaal]]	lunch	middageten	middagmaal	noenmaal	twaalfuurtje
(arbeids)verzuim	absenteïsme	arbeidsverzuim	ziekteverzuim
(het) gegrom	grom
(tegoed)bon	bon	cadeaubon	distributiebon	distributiebonnen	geschenkbon	plakzegel	reductiebon	reçu	vrijkaart	vrijkaartje
-baron	baron	magnaat
-ganger	doorzetter	gaander	ganger
-wezen	bedrijf	branche	sector	wezen
A	a	la
A-bom	atoombom	kernbom	kernwapen
A-weg	autobaan	autosnelweg	autostrade	autoweg	rijksweg	snelweg
ABC	alfabet
AE	astronomische eenheid
AIDS	aids
AJAX	Ajax
Aalborg	Ålborg
Aardbewoner	aardbewoner
Aarde	aardbol	aarde	aardkloot	aardrijk	ondermaanse	wereld	wereldbol
Abessinië	Ethiopië
Acheron	Hades	Tartarus	onderwereld	schimmenrijk
Adelaide	Adelheid
Adelger	Elgar
Adelheid	Adelaide
Adriatisch	Adriatische Zee
Adriatische Zee	Adriatisch
Advocaat	advokaat
Afganistan	Afghanistan
Afghanistan	Afganistan
Afrikaans	Afrikaner	Zuidafrikaans
Afrikaner	Afrikaans	Zuidafrikaans
Afrodite	Aphrodite	Cytherea
Airwave	uitzenden
Ajax	AJAX
Aken	aken
Akropolis	akropolis
Albaans	Albanees
Albanees	Albaans
Albanië	Republiek Albanië
Algerije	Democratische Volksrepubliek Algerije
Algerijn	Algerijnse	algerijns
Algerijnse	Algerijn	algerijns
Aline	op één lijn brengen	op één lijn zetten	uitlijnen
Alphekka	bladknop
Alsatia	Elzas
Aluminiumfolie	floret	folie
Amerika	USA	VS	Verenigde Staten	Verenigde Staten van Amerika
Amerikaans	Amerikaans Engels	Amerikaans-Engels
Amerikaans Engels	Amerikaans	Amerikaans-Engels
Amerikaans Samoa	Amerikaans-Samoa
Amerikaans-Engels	Amerikaans	Amerikaans Engels
Amerikaans-Samoa	Amerikaans Samoa
Amerikaanse torenvalk	torenvalk
Amerikaanse zwarte beer	kraagbeer
Andreas	Andrew	Andries	André
Andrew	Andreas	Andries	André
Andries	Andreas	Andrew	André
Andromeda	andromeda
André	Andreas	Andrew	Andries
Angelsaksisch	Oudengels
Anoa	anoa
Antarctis	zuidpool
Antarctische Oceaan	ijszee	poolzee
Antwerpen	antwerpen
Aphrodite	Afrodite	Cytherea
Arabisch Schiereiland	Arabië
Arabisch cijfer	Arabische cijfers
Arabische Republiek Egypte	Egypte
Arabische cijfers	Arabisch cijfer
Arabië	Arabisch Schiereiland
Aralmeer	Aralzee
Aralzee	Aralmeer
Aramees	Officieel Aramees
Arctica	noordpool	noordpoolgebied
Arctische Oceaan	Noordelijke IJszee	ijszee	poolzee
Ardennes	ardennen
Asclepius	Asklepios
Ase	Asen
Asen	Ase
Asklepios	Asclepius
Assam	Assam-thee	Assamthee
Assam-thee	Assam	Assamthee
Assamthee	Assam	Assam-thee
Assepoester	assepoes	assepoester	dienstmeisje
Assyrische Rijk	Assyrië
Assyrië	Assyrische Rijk
Athene	Pallas Athene
Atlantisch	Atlantische Oceaan
Atlantische Oceaan	Atlantisch
Augmentin	amoxicilline
Australisch	Australiër
Australië	Gemenebest Australië
Australiër	Australisch
Azerbeidzjaans	Azeri
Azeri	Azerbeidzjaans
Aziaat	Aziatisch	Azische	Indiër
Aziatisch	Aziaat	Azische	Indiër
Azische	Aziaat	Aziatisch	Indiër
BBP	bruto binnenlands product
BNP	bruto nationaal product
Baal	Baäl
Babel	Babylon
Babyboom	babyboom	geboortegolf	geboortengolf
Babylon	Babel
Bahama's	Bahama-eilanden	Bahamas
Bahama-eilanden	Bahama's	Bahamas
Bahamas	Bahama's	Bahama-eilanden
Bakoe	Baku
Baku	Bakoe
Baltische zee	Oostzee
Bangla	Bengaals
Bangladesch	Bangladesh
Bangladesh	Bangladesch
Bargoens	argot	boeventaal	dieventaal	groepstaal	jargon	koine	kringtaal	kunsttaal	omgangstaal	slang	spreektaal	vakjargon	vaktaal	volkstaal
Barrelhouse	café-chantant	tingeltangel
Bask	Baskische
Baskische	Bask
Batman	oppasser
Baud	baud
Baäl	Baal
Baälsdienst	afgodendienst	afgoderij	idolatrie
Bedoeïen	bedoeïen
Belarussisch	Wit-Russisch	Witrussisch
Belg	Belgisch
Belgisch	Belg
Bengaals	Bangla
Berlijns-zilver	berlijns-zilver
Betelgeuse	Betelgeuze
Betelgeuze	Betelgeuse
Beëlzebub	Boze	Mefisto	Satan	demon	demoon	droes	duivel	hellevorst	lucifer	mefisto	morgenster	satan
Bhoetan	Bhutan
Bhutan	Bhoetan
Big Bangtheorie	oerknaltheorie
Bijbel	Schrift	bijbel	testament
Birma	Myanmar	Unie Myanmar
Blauwe Rivier	Jangtsekiang
BoPeep	Kiekeboe	kiekeboe
Boakarest	Boekarest	boekarest
Boeddha	boeddha
Boekarest	Boakarest	boekarest
Boerenoorlog	boerenoorlog
Bolivia	Bolivië
Bolivië	Bolivia
Bombay	Mumbai
Bourgondiër	fijnproever	gastronome	gastronoom	lekkerbek	lucullus
Bowfin	Grindle
Boze	Beëlzebub	Mefisto	Satan	demon	demoon	droes	duivel	hellevorst	lucifer	mefisto	morgenster	satan
Bratislava	Pressburg
Breslau	Wrocław
Brie	brie
Brit	Britse
